w,h_min,overlay,k,thresh,n_trades,trade_mean_bps_1x,trade_median_bps_1x,win_rate,ci_lo_1x,ci_hi_1x,ci_lo_2x,ci_hi_2x,trade_t_1x,gross_bps,turnover,net_bps,net_2x_bps,avg_rt_bps,n_syms
120,30,PERSISTENCE,2,0.15,1426,0.0324,-1.2987,0.4516,-2.3857,2.4285,-4.5537,0.2615,0.03,-0.0322,0.00544,-0.0436,-0.055,2.107,9
120,30,PERSISTENCE,3,0.05,1950,-1.9987,-1.6905,0.4462,-4.4499,0.4411,-6.7154,-1.8178,-1.6,-0.1299,0.00712,-0.1458,-0.1617,2.107,9
120,30,PERSISTENCE,3,0.1,2061,-0.573,-1.2251,0.4595,-2.8337,1.7157,-5.0783,-0.5147,-0.49,0.0666,0.00761,0.0498,0.0331,2.107,9
120,30,PERSISTENCE,3,0.15,1424,-0.1415,-1.3617,0.4508,-2.5678,2.2701,-4.7285,0.1194,-0.12,-0.0817,0.00543,-0.0931,-0.1045,2.107,9
120,30,PERSISTENCE,5,0.05,1975,-1.4228,-1.6905,0.4481,-3.8583,0.9622,-6.0883,-1.268,-1.15,0.3084,0.00724,0.2925,0.2766,2.107,9
120,30,PERSISTENCE,5,0.1,2056,-0.837,-1.4337,0.4562,-3.095,1.3986,-5.3366,-0.8373,-0.73,0.0492,0.00759,0.0325,0.0157,2.107,9
120,30,PERSISTENCE,5,0.15,1418,-0.3335,-1.2552,0.4506,-2.6783,2.0715,-4.8349,-0.0935,-0.28,-0.1817,0.00541,-0.1931,-0.2044,2.107,9
300,5,HOLD,0,0.0,5674,-2.0319,-1.8057,0.441,-2.7009,-1.3261,-4.9781,-3.5953,-5.87,0.2852,0.02072,0.2386,0.1921,2.107,9
300,5,PERSISTENCE,2,0.05,6160,-1.7418,-1.7306,0.4425,-2.352,-1.1367,-4.6241,-3.4078,-5.57,0.299,0.02287,0.2479,0.1969,2.107,9
300,5,PERSISTENCE,2,0.1,2869,-1.7832,-1.6905,0.4298,-2.5885,-0.9983,-4.6155,-3.0096,-4.47,0.1315,0.01116,0.1098,0.0882,2.107,9
300,5,PERSISTENCE,2,0.15,1167,-0.6876,-0.8008,0.4404,-1.7698,0.4231,-3.2868,-1.0861,-1.21,0.0657,0.00487,0.0588,0.0519,2.107,9
300,5,PERSISTENCE,3,0.05,6153,-1.7644,-1.7346,0.4421,-2.3784,-1.1558,-4.6448,-3.4225,-5.65,0.3053,0.02285,0.2544,0.2035,2.107,9
300,5,PERSISTENCE,3,0.1,2858,-1.5875,-1.6562,0.4314,-2.3442,-0.8081,-4.3767,-2.8263,-4.01,0.1329,0.01112,0.1113,0.0897,2.107,9
300,5,PERSISTENCE,3,0.15,1160,-0.5468,-0.8098,0.4397,-1.6356,0.5898,-3.1513,-0.9226,-0.97,0.0557,0.00484,0.0488,0.042,2.107,9
300,5,PERSISTENCE,5,0.05,6127,-1.7521,-1.7346,0.4439,-2.3457,-1.1452,-4.6172,-3.4083,-5.66,0.3161,0.02275,0.2654,0.2148,2.107,9
300,5,PERSISTENCE,5,0.1,2849,-1.5336,-1.6093,0.4314,-2.2934,-0.7836,-4.3145,-2.7985,-3.97,0.1198,0.01109,0.0983,0.0768,2.107,9
300,5,PERSISTENCE,5,0.15,1149,-0.4944,-0.672,0.443,-1.4618,0.5508,-2.966,-0.9432,-0.97,0.0415,0.0048,0.0347,0.028,2.107,9
300,10,HOLD,0,0.0,3323,-2.4806,-1.3378,0.4643,-3.6758,-1.2736,-5.9077,-3.4969,-4.03,0.4767,0.01222,0.45,0.4234,2.107,9
300,10,PERSISTENCE,2,0.05,4300,-1.7538,-1.0991,0.4667,-2.7644,-0.7412,-5.0424,-3.0103,-3.4,0.4797,0.01588,0.4443,0.4088,2.107,9
300,10,PERSISTENCE,2,0.1,2305,-1.3241,-0.9889,0.4716,-2.6387,-0.0265,-4.7033,-2.0886,-2.02,0.252,0.0089,0.2342,0.2164,2.107,9
300,10,PERSISTENCE,2,0.15,996,-0.0397,-0.4518,0.4709,-1.7441,1.6251,-3.3364,0.0312,-0.05,0.0849,0.00412,0.0788,0.0726,2.107,9
300,10,PERSISTENCE,3,0.05,4293,-1.7146,-1.0991,0.468,-2.7221,-0.6823,-4.9924,-2.9543,-3.33,0.4677,0.01585,0.4323,0.397,2.107,9
300,10,PERSISTENCE,3,0.1,2295,-1.0896,-0.8711,0.4741,-2.345,0.2117,-4.4231,-1.8698,-1.67,0.248,0.00887,0.2303,0.2126,2.107,9
300,10,PERSISTENCE,3,0.15,989,0.0855,-0.4518,0.4712,-1.5257,1.6818,-3.0988,0.0972,0.1,0.0976,0.00409,0.0916,0.0855,2.107,9
300,10,PERSISTENCE,5,0.05,4284,-1.6754,-1.0991,0.4669,-2.661,-0.6785,-4.9359,-2.9439,-3.27,0.4758,0.01582,0.4405,0.4052,2.107,9
300,10,PERSISTENCE,5,0.1,2282,-1.0888,-0.8722,0.4737,-2.3381,0.1864,-4.4027,-1.8793,-1.71,0.2198,0.00882,0.2023,0.1847,2.107,9
