frac,n_trades,directional_precision,mean_fwd_return,dollar_per_trade,total_dollar_pnl,net_per_period,sharpe_net,breakeven_cost_bps
0.01,766,0.5065274151436031,0.00327398661011243,714.0922400844945,546994.6559047227,0.0056978609990075285,1.6647793633752197,22.834728513977108
0.02,1724,0.5104408352668214,0.0025298087222953756,234.96631196580026,405081.92182903964,0.0042196033523858294,1.7619649693605197,18.350974116261792
0.05,4590,0.5017429193899782,0.001896233091629569,63.722328419610754,292485.4874460134,0.003046723827562639,1.611005779841427,15.012218752492856
0.1,9344,0.5065282534246576,0.0014643695566668531,22.485438672184976,210103.93895289642,0.002188582697426004,1.3387044701495852,12.588967716621905
0.2,18718,0.5051821775830752,0.0008076072515623779,4.903183048292843,91777.78029794543,0.0009560185447702648,0.7025261062788374,8.201969527816136
0.33,31056,0.5065687789799073,0.000620827354877728,2.155265722059343,66933.93226427496,0.0006972284610861975,0.6645760382264024,7.786661065647302
0.5,47084,0.5050123184096509,0.0004263676474587963,0.9068320984376833,42697.28252283988,0.0004447633596129154,0.5861316410410979,7.2821827609810965
