universe,leg,F,S,H,n_rebal,turnover,gross_mean,gross_t,net1_mean,net1_t,net2_mean,oos_net1_mean,oos_net1_t,oos_n,oos_ci_lo,oos_ci_hi,full_ci_lo,full_ci_hi,canary_mean,canary_sd,demean_mean,demean_t,n_flagged_spread
megacap100,decile,63,2,5,11,0.2545,0.03881,1.21,0.03859,1.2,0.03837,0.03859,1.2,11,-0.02274,0.09643,-0.02258,0.09915,0.00639,0.01641,-0.02897,-0.86,0
megacap100,decile,63,2,10,5,0.36,0.10534,2.85,0.10501,2.84,0.10469,0.10501,2.84,5,0.03756,0.16738,0.03756,0.16738,0.00172,0.0378,-0.04382,-1.19,0
megacap100,quintile,21,0,5,20,0.3488,0.02258,1.43,0.02236,1.42,0.02213,0.02451,0.98,11,-0.02153,0.07072,-0.00779,0.05293,0.0018,0.00383,-0.01283,-0.84,0
megacap100,quintile,21,0,10,10,0.505,0.01582,0.57,0.01551,0.56,0.01519,0.01625,0.36,5,-0.05849,0.10082,-0.03624,0.06652,0.00066,0.0145,-0.0567,-2.26,0
megacap100,quintile,21,0,21,4,0.6875,0.05144,2.67,0.05102,2.65,0.05061,NaN,NaN,2,NaN,NaN,0.0195,0.08255,-0.0046,0.04384,-0.11312,-2.69,0
megacap100,quintile,21,2,5,20,0.3488,0.0204,1.78,0.02017,1.76,0.01995,0.01912,1.19,12,-0.01067,0.05031,-0.00162,0.04192,0.00098,0.00656,-0.0153,-1.35,0
megacap100,quintile,21,2,10,10,0.505,0.03228,1.38,0.03196,1.37,0.03164,0.03537,0.91,6,-0.03619,0.10493,-0.01213,0.07525,-0.00419,0.01078,-0.04041,-2.03,0
megacap100,quintile,21,2,21,4,0.6875,0.06289,3.04,0.06247,3.02,0.06205,NaN,NaN,2,NaN,NaN,0.02383,0.09079,-0.0075,0.0234,-0.10029,-2.46,0
megacap100,quintile,42,0,5,16,0.25,0.02655,1.36,0.02638,1.35,0.02622,0.03677,1.7,12,-0.00584,0.07483,-0.01257,0.06176,0.00564,0.0069,-0.02014,-1.02,0
megacap100,quintile,42,0,10,8,0.3656,0.03195,1.16,0.03172,1.15,0.03149,0.04136,1.14,6,-0.02242,0.10568,-0.01654,0.08398,0.00208,0.01478,-0.05969,-1.96,0
megacap100,quintile,42,0,21,3,0.5083,0.09341,2.37,0.0931,2.36,0.09278,NaN,NaN,2,NaN,NaN,0.03041,0.16573,-0.01513,0.04127,-0.10301,-9.26,0
megacap100,quintile,42,2,5,16,0.25,0.02744,2.02,0.02727,2.0,0.0271,0.03406,2.68,12,0.01055,0.05803,0.0012,0.05187,0.00203,0.00485,-0.02134,-1.49,0
megacap100,quintile,42,2,10,8,0.3656,0.03824,1.28,0.038,1.27,0.03777,0.04357,2.04,6,0.00624,0.08111,-0.01857,0.09085,-0.00363,0.02455,-0.05738,-1.88,0
megacap100,quintile,42,2,21,3,0.5083,0.08396,1.56,0.08364,1.55,0.08333,NaN,NaN,2,NaN,NaN,-0.01057,0.17584,0.00371,0.01762,-0.11142,-4.26,0
megacap100,quintile,63,0,5,12,0.225,0.03729,1.6,0.03715,1.59,0.03701,0.03715,1.59,12,-0.00349,0.08296,-0.00455,0.08225,-0.00162,0.01043,-0.02191,-0.9,0
megacap100,quintile,63,0,10,6,0.2917,0.06599,1.69,0.06579,1.68,0.06559,0.06579,1.68,6,-0.00644,0.13284,-0.00601,0.13285,-0.00518,0.01555,-0.05225,-1.21,0
megacap100,quintile,63,2,5,11,0.2159,0.03495,1.11,0.03481,1.1,0.03467,0.03481,1.1,11,-0.02562,0.08955,-0.02607,0.09114,-0.0002,0.01405,-0.02054,-0.61,0
megacap100,quintile,63,2,10,5,0.275,0.11104,3.62,0.11084,3.62,0.11065,0.11084,3.62,5,0.05674,0.16495,0.05674,0.16495,-0.00704,0.02243,-0.01342,-0.55,0
