split,fill,overlay,qimb_thr,markout_sec,n_fills,earned_spread_bps,adverse_drift_bps,markout_mean_bps,markout_ci_lo,markout_ci_hi,markout_t,win_rate,cross_mean_bps,cross_ci_lo,cross_ci_hi
ALL,queue_proxy,qimb,0.05,60,1601011,0.5421,-0.669,-0.1269,-0.1418,-0.1125,-16.7,0.4862,-0.9894,-1.004,-0.9748
ALL,queue_proxy,qimb,0.1,1,1904451,0.5558,-0.2975,0.2583,0.2559,0.2606,211.32,0.5469,-0.6091,-0.6116,-0.6067
ALL,queue_proxy,qimb,0.1,5,1904451,0.5558,-0.5504,0.0054,0.0014,0.0096,2.59,0.4794,-0.862,-0.8661,-0.8576
ALL,queue_proxy,qimb,0.1,30,1904451,0.5558,-0.6523,-0.0964,-0.1058,-0.0866,-19.61,0.4823,-0.9638,-0.9731,-0.954
ALL,queue_proxy,qimb,0.1,60,1904451,0.5558,-0.6599,-0.1041,-0.1175,-0.0902,-14.97,0.4873,-0.9715,-0.9851,-0.9575
ALL,queue_proxy,qimb,0.2,1,2068214,0.5534,-0.2928,0.2606,0.2582,0.2629,223.5,0.5463,-0.5978,-0.6001,-0.5955
ALL,queue_proxy,qimb,0.2,5,2068214,0.5534,-0.5419,0.0115,0.0075,0.0152,5.77,0.4797,-0.8469,-0.8509,-0.8431
ALL,queue_proxy,qimb,0.2,30,2068214,0.5534,-0.6391,-0.0857,-0.0948,-0.076,-18.33,0.4826,-0.9441,-0.9534,-0.9344
ALL,queue_proxy,qimb,0.2,60,2068214,0.5534,-0.6425,-0.0891,-0.1025,-0.0757,-13.48,0.4878,-0.9475,-0.9608,-0.934
ALL,queue_proxy,qimb,0.4,1,2103681,0.5471,-0.2905,0.2567,0.2544,0.2589,223.18,0.5442,-0.5934,-0.5956,-0.591
ALL,queue_proxy,qimb,0.4,5,2103681,0.5471,-0.5377,0.0094,0.0056,0.0132,4.8,0.4787,-0.8406,-0.8445,-0.8367
ALL,queue_proxy,qimb,0.4,30,2103681,0.5471,-0.6337,-0.0865,-0.0957,-0.0773,-18.77,0.4823,-0.9366,-0.9457,-0.9276
ALL,queue_proxy,qimb,0.4,60,2103681,0.5471,-0.6361,-0.089,-0.1017,-0.0767,-13.66,0.4877,-0.939,-0.9517,-0.9268
OOS,trade_through,baseline,,1,1346627,0.9054,-0.1648,0.7406,0.737,0.7444,407.59,0.6596,-0.3077,-0.3109,-0.3043
OOS,trade_through,baseline,,5,1346627,0.9054,-0.1995,0.706,0.7003,0.7115,244.05,0.6014,-0.3423,-0.348,-0.3366
OOS,trade_through,baseline,,30,1346627,0.9054,-0.2036,0.7018,0.6898,0.7142,111.72,0.5442,-0.3465,-0.3587,-0.3346
OOS,trade_through,baseline,,60,1346627,0.9054,-0.2061,0.6993,0.6827,0.7159,79.61,0.531,-0.349,-0.3657,-0.3324
OOS,trade_through,qimb,0.0,1,665107,0.8642,-0.1739,0.6903,0.6853,0.6955,270.02,0.6491,-0.3507,-0.3556,-0.3458
OOS,trade_through,qimb,0.0,5,665107,0.8642,-0.2174,0.6468,0.6388,0.6552,158.42,0.5935,-0.3942,-0.4021,-0.3862
OOS,trade_through,qimb,0.0,30,665107,0.8642,-0.2363,0.6279,0.6106,0.6463,70.62,0.5393,-0.4131,-0.4299,-0.3949
OOS,trade_through,qimb,0.0,60,665107,0.8642,-0.2508,0.6134,0.5894,0.6393,49.2,0.5266,-0.4276,-0.452,-0.4018
OOS,trade_through,qimb,0.05,1,1008446,0.9154,-0.1742,0.7412,0.7366,0.7455,347.71,0.659,-0.3351,-0.3393,-0.3313
OOS,trade_through,qimb,0.05,5,1008446,0.9154,-0.2143,0.7011,0.6943,0.7078,205.94,0.5994,-0.3752,-0.3818,-0.3691
