signal,w,h_min,band,gross_bps,turnover,net_bps,net_2x_bps,avg_rt_cost_bps,n_syms
ofi,30,5,0.1,0.0043,0.0043,-0.0096,-0.0236,2.676,5
ofi,30,5,0.15,0.0018,0.0009,-0.0009,-0.0037,2.676,5
ofi,30,5,0.2,-0.0002,0.0003,-0.0011,-0.002,2.676,5
ofi,60,1,0.0,0.054,0.2731,-0.6734,-1.4008,2.676,5
ofi,60,1,0.02,0.0334,0.1358,-0.3749,-0.7831,2.676,5
ofi,60,1,0.05,0.0032,0.0162,-0.0477,-0.0985,2.676,5
ofi,60,1,0.1,0.0006,0.001,-0.0025,-0.0056,2.676,5
ofi,60,1,0.15,-0.0,0.0002,-0.0006,-0.0011,2.676,5
ofi,60,1,0.2,0.0002,0.0,0.0001,0.0,2.676,5
ofi,60,2,0.0,0.0763,0.2731,-0.6511,-1.3785,2.676,5
ofi,60,2,0.02,0.0568,0.1358,-0.3515,-0.7597,2.676,5
ofi,60,2,0.05,0.0022,0.0162,-0.0486,-0.0994,2.676,5
ofi,60,2,0.1,0.0019,0.001,-0.0011,-0.0042,2.676,5
ofi,60,2,0.15,0.0001,0.0002,-0.0004,-0.0009,2.676,5
ofi,60,2,0.2,0.0003,0.0,0.0002,0.0001,2.676,5
ofi,60,5,0.0,0.1076,0.2731,-0.6198,-1.3471,2.676,5
ofi,60,5,0.02,0.0933,0.1358,-0.315,-0.7233,2.676,5
ofi,60,5,0.05,0.0195,0.0162,-0.0314,-0.0822,2.676,5
ofi,60,5,0.1,0.0034,0.001,0.0003,-0.0028,2.676,5
ofi,60,5,0.15,0.0004,0.0002,-0.0001,-0.0006,2.676,5
ofi,60,5,0.2,0.0004,0.0,0.0003,0.0002,2.676,5
ofi,120,1,0.0,0.0412,0.1635,-0.394,-0.8293,2.676,5
ofi,120,1,0.02,0.0285,0.0666,-0.1734,-0.3753,2.676,5
ofi,120,1,0.05,0.0056,0.0042,-0.0076,-0.0207,2.676,5
