feature,bucket,horizon,n_cell,uncond_ic,cond_ic,incr_ic,pval,shuf_ic_mean,shuf_ic_p95,ic_beats_shuffle,nw_t_5pct,total_pnl_5pct,n_days,n_pos_days,max_day_share,pnl_2pct,pnl_5pct,pnl_10pct,collapse_2to5_ratio,half_incr_H1,half_incr_H2,sign_replicates,pval_incr,fdr_reject,GO_all_gates
F1_ret_15m,RVOL_high,15,209712,0.8183809641457864,0.6507065215446175,-0.16767444260116893,0.0,0.6878425336659234,0.6986199080757354,false,-2.899737083476169,-346106.7972477547,45,11,0.08306759541350094,-431616.33129995596,-346106.7972477547,-335460.0172017031,1.2470611231335937,-0.019830734927093516,-0.1746991360438136,true,,false,false
F1_ret_15m,RVOL_low,15,209212,0.8183809641457864,0.6365319306594245,-0.18184903348636194,0.0,0.69211856561138,0.6997166579304253,false,-3.920788734391519,-93563.90922918466,45,14,0.06801207467630069,-96933.46219250429,-93563.90922918466,-88572.32797267912,1.0360133836976169,-0.03402243123288648,-0.1838564000335724,true,,false,false
F1_ret_15m,RLIQ_high,15,2049,0.8183809641457864,0.04644141085330144,-0.771939553292485,0.035426035856221914,0.0013963168985242655,0.04459971427447505,true,-2.8680189553517352,-271036.74243293743,43,14,0.07556542872852519,-383314.46685926215,-271036.74243293743,-237250.94271064692,1.4142527814438501,0.03972836036673732,-0.7720077187572428,false,,false,false
F1_ret_15m,RLIQ_low,15,1417,0.8183809641457864,0.03906998701145266,-0.7793109771343337,0.14134559151958362,0.000125456294235802,0.052872929083010646,false,-7.985821220357593,-297417.29228620586,43,11,0.07083095310167815,-306603.8538230842,-297417.29228620586,-254498.43844625645,1.030887785529424,-0.023119783814053482,-0.7232234119366705,true,,false,false
F2_quote_imbalance_15m,RVOL_high,15,9312,0.008394213877767334,-0.07833192765462878,-0.0867261415323961,3.4181183393063376e-14,0.007120585255532257,0.03553854691219267,true,-10.315859787338303,-471717.6982142025,43,1,0.09479831023183641,-490299.7716548276,-471717.6982142025,-383650.0683503815,1.0393923601148989,0.03657801559303964,0.4298460513606992,false,,false,false
F2_quote_imbalance_15m,RVOL_low,15,2670,0.008394213877767334,0.0004459232166192434,-0.00794829066114809,0.981623842602857,-0.0009380197828773884,0.03434292243350038,false,-12.078635900918488,-166734.1976333094,42,1,0.053842339920121024,-182689.25065557036,-166734.1976333094,-140734.3807045056,1.0956915452782527,-0.010251859293702583,0.09403192017904993,false,,false,false
F2_quote_imbalance_15m,RLIQ_high,15,2705,0.008394213877767334,0.006918049091877699,-0.001476164785889635,0.7190859759011027,0.0003599362683835532,0.03835977113958443,false,-3.8648600540526217,-172721.7663180515,43,8,0.11421704144044165,-214874.32759732133,-172721.7663180515,-173958.76645180708,1.244048924335626,0.01514215379831288,0.08093408362873411,false,,false,false
F2_quote_imbalance_15m,RLIQ_low,15,2716,0.008394213877767334,-0.012345897178757366,-0.0207401110565247,0.5200802640901271,0.0003205037229313053,0.04031035915937123,false,-12.43153522203643,-352575.74822510686,43,1,0.04931710877597534,-436461.68064086506,-352575.74822510686,-324637.9861036655,1.2379231493885963,-0.01427323504106171,0.06462701947472023,false,,false,false
F3_signed_trade_ratio_15m,RVOL_high,15,15960,0.37363337287450277,0.5694948757749406,0.19586150290043786,0.0,0.0029415265709825176,0.027424681158976616,true,-12.385464168341755,-437624.3605135351,44,2,0.046962792973917485,-514501.7734979195,-437624.3605135351,-429476.6767731977,1.1756698664904572,-0.015873434372646857,0.2044095382260528,false,0.0,true,false
F3_signed_trade_ratio_15m,RVOL_low,15,15792,0.37363337287450277,0.6055156644218811,0.23188229154737833,0.0,-0.002837320797512136,0.020318694938430158,true,-13.046212597167814,-186334.9929530464,44,0,0.0442048997255245,-204459.92280301696,-186334.9929530464,-169755.7923544709,1.0972706712932754,0.05449059220531287,0.2403763034031503,true,0.0,true,false
F3_signed_trade_ratio_15m,RLIQ_high,15,2705,0.37363337287450277,0.004892179551971543,-0.36874119332253125,0.7992256881411808,0.00010443667179595009,0.036071555038927484,false,-9.1189039989508,-167103.4007934895,43,3,0.05603503293552323,-152714.71010152975,-167103.4007934895,-161916.9728097077,0.9138934897576283,0.012919007860744236,-0.5441868706029122,false,,false,false
F3_signed_trade_ratio_15m,RLIQ_low,15,2716,0.37363337287450277,0.02565854059425375,-0.347974832280249,0.18117392796651058,0.0004297403642274335,0.040868489631136394,false,-13.57304762216416,-317669.41205521947,43,0,0.05287604537454074,-329029.13576697116,-317669.41205521947,-304260.24778508133,1.0357595767192627,-0.002784008734043536,-0.48481198624042043,true,,false,false
F4_ret_60m,RVOL_high,15,209241,0.8242022656731525,0.642827948090377,-0.18137431758277545,0.0,0.6894653112081914,0.7019427151877354,false,-2.125939236079443,-313617.28870136064,45,13,0.11922768969514158,-216087.05839872648,-313617.28870136064,-258369.10427185276,0.6890151346359401,-0.013097262529651437,-0.18625176594847948,true,,false,false
