symbol,half_spread_bps
SPY,0.13866266758088314
NVDA,0.3835501488558267
MU,1.94508472170586
QQQ,0.15356333941186975
TSLA,0.7037821047139006
SNDK,4.903811738763353
MSFT,0.5701221606276745
AMD,1.9088992627578723
AAPL,0.5347920914492699
INTC,0.8913967576198456
AMZN,0.48445132310848077
META,1.3285246288407393
GOOGL,0.5262918305581528
AVGO,1.2050896969291576
MRVL,2.138727561717036
GOOG,0.6747948124495831
PLTR,1.045286385326411
LITE,8.125190320413532
TSM,1.5702830572945423
ORCL,1.3657738642833337
QCOM,1.6113341958952065
NFLX,0.542562816876939
WDC,5.426668361517404
CRWV,3.0577574894363933
AMAT,3.91764588961784
LLY,3.5508509352639654
NBIS,5.198679675127138
XOM,0.9974672982633954
NOW,1.4782207319014828
ASML,2.7146278672351727
MSTR,2.601035810401238
UNH,1.6633451267801378
LRCX,3.828159888836826
ARM,4.7887760974904285
JPM,1.3018931508206126
RKLB,2.132186265339621
STX,7.246242041700736
GEV,5.207025601615179
CRM,2.557293258386177
WMT,0.7842265584554022
DELL,5.385800156216618
BE,7.776034738360475
HOOD,1.2943509486549427
CSCO,0.6319261240431089
V,1.3771001037255797
BRK.B,1.301174796867826
IREN,1.820872924791754
COHR,7.562620638129207
APP,6.36557251046692
GLW,4.788700839935011
CAT,3.4526349044032356
VRT,3.990506528665757
CVX,1.1045180463942597
IBM,2.5929359138426724
TXN,3.383455795968157
AAOI,9.417487524101244
COST,3.14087301054267
GS,3.706089669526232
ASTS,5.007973932706893
COIN,3.7186532463951307
KLAC,8.836497561988018
CRWD,4.287797680375732
BAC,0.9727269263540297
PANW,3.3426346942100214
MA,1.9362900222160653
GE,2.203382115204254
JNJ,1.5640110704740937
CRCL,5.530947183939908
SMCI,1.70986725767499
INTU,4.794453727719394
SNOW,5.5247338873158895
IONQ,2.1128432022056196
BABA,1.5669772284585863
ADI,3.8802740810749037
BA,2.801743238126849
C,1.5494959609382042
HD,1.864069483975119
ADBE,2.6170108076119156
CRDO,8.011834226479417
CIEN,9.935855490747494
ANET,4.296826715339004
NOK,4.693002190287608
PG,1.0326757794755508
APH,2.75257613623279
ABBV,2.8712203611393425
ALAB,8.842738141345365
BKNG,1.0331905746949728
UBER,1.3267276290758316
WFC,0.646548232475022
TER,7.572485735153757
ABT,1.5007394390927855
VZ,1.0552976056740044
KO,0.643691188584594
SHOP,3.74053066304074
SOFI,2.989623192183368
MS,2.7111331498349562
LIN,2.5654227764943327
BSX,1.4196231553867737
MRK,1.469231421002717
MCD,1.7792977557460503
TMUS,2.4596142677208235
ON,1.769530052589244
ACN,4.341236488307723
T,1.9008683257559178
NKE,1.099070571574814
TMO,3.333397757194679
DDOG,6.742310430674624
COP,1.165129049801135
SPOT,6.595878661624513
PEP,1.7751487136831345
ETN,3.800592060353311
CEG,4.908739442419243
SATS,6.0423600643962345
SCHW,1.578414315457893
ISRG,3.744186664752927
NET,7.907169405796871
AXTI,10.019553719555557
PFE,1.8554168965139999
FCX,1.5904522938083447
AXP,2.3152979616687293
RTX,2.823649573824513
NEM,2.3945290984102154
NXPI,6.457820917214688
NEE,1.1151688310284644
MPWR,9.586284757098301
HON,3.024274979262745
HPE,1.8522555016736857
DIS,1.2311041167288552
MELI,5.217016227185719
AMGN,2.8678820711745088
AAL,4.1520022001649926
MCHP,2.351965842695603
CVNA,5.8141721561280075
OKLO,6.826840336557926
COF,2.9972093889031313
CAR,21.343464609567047
CMCSA,1.7985626055866661
AZO,8.1970676268313
OXY,0.8580778230639023
GILD,2.641384224752989
PDD,1.4594909243126235
RGTI,3.0497114121061477
SNPS,4.777720418678406
APLD,3.385132762140219
BMNR,2.358572562958538
SPGI,3.3009412054007967
VLO,4.925404767748202
DHR,3.394248669688631
CLS,11.833584635173981
SLB,0.9398496323621519
PM,3.1724058517025164
TJX,2.273622021150061
F,4.0801412318163575
CDNS,4.479842020437733
MCK,6.20483626330285
SYK,3.711413114977132
MDT,1.253214737528804
LMT,4.079445476362729
RDDT,7.839006227836913
SBUX,1.9040540192751858
QBTS,2.717955069691969
UNP,3.9029515811354614
LNG,5.331708532238394
DASH,3.691776156006843
RCL,4.871450969934559
CME,2.4922649067316227
BX,3.1368982901961795
PWR,6.388110920475617
ONDS,5.003253365500811
CCL,1.8626037883162083
DE,5.270907816156045
DVN,1.0533204829863243
FIX,16.64365817152454
SHEL,0.5732316191445122
VST,6.275342382539777
AKAM,5.826951944903406
BLK,3.7299774530062475
NU,3.5065014742182257
PYPL,1.0991884114158432
CVS,1.9264545949653964
HIMS,2.150393056642307
UAL,4.075267921806524
